Last Date,Location,Total Hours,Total IVT,Max IVT,Total Precip,Avg. Direction,Return Period,1h ARI,3h ARI,6h ARI,12h ARI,1d ARI,Impact Level,Impact dates,Impact,Impact Information,Location,Impact Source,Notes,Wick Precip,Wick Return
20220210_00Z,PAKT,24,1155.33,581.9,1.47,249.535,,1,1,1,1,1,1,02/09/2022,Lake flooding,"Minor flooding around ward lake/river area, water over picnic and campgrounds",PAKT,HYDRO,,,
20220122_00Z,PAJN,24,790.62,419.64,4.15,225.33,,1,2,2,10,25,2,01/22/2022,"Flood stage, flooding","Jordan creek at 7th highest crest; Montana creek at 9th highest crest; flooding closed Alex Holden road, the cargo road at the airport due to drainage. Nuisance flooding but not expecting rivers to reach bankfuls, reports of water in crawl spaces and garages",PAJN,AHPS,THe 22nd had the 5th highest precip event,,
20220122_00Z,JNNA2,24,798.01,423,,225.73,,,,,,,2,01/22/2022,Flood stage; flooding in Juneau,"Flooding in Juneau closed Alex Holden road, the cargo road at the airport due to drainage. Nuisance flooding but not expecting rivers to reach bankfuls, reports of water in crawl spaces and garages. Pelican had significant road erosion and exposure of fuel pipes as a result of the 7.6 inches of rain; Montana creek at 9th highest crest",JNNA2,AHPS,,,
20220122_00Z     ,PAGS,24,820.15,418.66,,226.405,,,,,,,2,01/22/2022,Moderate flood stage,Salmon river at 3rd highest crest,PAGS,AHPS,,NA,
20220122_00Z,PASI,24,975.82,497.62,5.02,231.805,,1,2,2,10,5,0,01/22/2022,No impacts recorded,No impacts recorded but widespread ar event,PASI,,22nd had the 17th highest precip,,
20220122_00Z,PAYA,24,568.89,310.33,3.58,209.88,,1,1,1,1,1,0,1/22/2022,"heavy rainfall, flooding (?)",heavy rains throughout panhandles,PAYA,?,This is not in the AR database,,
20220122_00Z,PAGY,24,703.16,394.06,0.75,227.05,,1,1,1,NA,1,0,01/22/2022,No impact but widespread ar,No impact,PAGY,AHPS,Widespread ar but no impact in Skagway/Haines,,
,HOOA2,,,,,,,,,,,,0,01/22/2022,Nothing recorded in Hoonah,Nothing recorded in Hoonah,HOOA2,,widespread ar,,
20220122_00Z,PAHN,24,657.83,364.35,1.23,225.265,,1,1,1,1,1,0,01/22/2022,no recorded impacts,no recorded impacts in haines,PAHN,,widespread event,,
20211122_12Z,PAKT,24,690.37,429.7,,187.065,,1,1,1,1,1,1,11/22/2021,Lake flooding,Flooding around ward lake recreational area,PAKT,APRFC,,,
20211122_12Z     ,KTNA2,24,660.98,399.75,,191.995,,,,,,,1,11/22/2021,Lake flooding,Flooding around ward lake recreational area,KTNA2,APRFC,,,
,PAKW,,,,,,,1,1,1,NA,NA,0,10/02/2021,Action stage,Thorne river at 6th highest overflow,PAKW,AHPS,,,
,PAKT,,,,,,,1,1,1,1,1,0,10/02/2021,Action flooding,Thorne River at 6th most overflow,PAKT,AHPS,,,
,KTNA2,,,,,,,,,,,,0,10/02/2021,Action flooding,Thorne River at 6th most overflow,KTNA2,AHPS,,,
20210924_12Z,PAKT,24,1358.59,719.54,,224.545,,1,1,1,1,1,0,09/24/2021,Action flooding,Ketchikan creek at 6th most overflow,PAKT,AHPS,ar right before this event on the 21st,,
20210924_12Z     ,KTNA2,24,1298.85,713.75,,226.59,,,,,,,0,09/24/2021,Action flooding,Ketchikan creek at 6th most overflow,KTNA2,AHPS,right after another ar on the 1st,,
20210813_12Z,PAYA,120,4333.98,808.92,10.24,228.445,,1,1,1,1,1,0,08/15/2021,Flood stage,Situk was at its 3rd highest overflow,PAYA,AHPS,This is not in the AR database; 08/13/2021 - 08/15/2021,,
20210814_00Z,JNNA2,132,4543.15,618.25,,240.6818182,,,,,,,3,08/14/2021,Moderate flood stage; flood stage; flooding,"Mendenhall at 3rd highest crest; Jordan creek at 3rd highest crest; Montana creek at 10th highest crest; lots of flooding around roads and campgrounds near mendenhall; montana creek created minor flooding into lots and yards,",JNNA2,"HYDRO, APRFC, WFO, NWS, AHPS",Widespread serious ar event,,
20210814_00Z,PAHN,72,2849.28,670.49,1.03,233.01,,1,1,1,1,1,1,08/14/2021,flooding,Poor drainage flooding,PAHN,,following another 48nhour ar on the 10th; 13th had 9th highest ivt,,
20210813_12Z     ,PECA2,120,5403.35,794.8,,245.636,,,,,,,0,08/14/2021,Heavy rainfall; no other reported impact in Pelican,Pelican recorded 7.6 inches of rain but nothing else,PECA2,,13th had the 25th highets ivt,,
20210814_00Z,PAJN,132,4613.59,592.78,2.15,242.0345455,,1,1,1,2,1,3,08/13/2021,"Flood stage, moderate flooding, flooding","Jordan creek at its 3rd highest crest; Mendenhall at its 3rd highest crest; Montana creek at its 10th highest crest; flooding of campgrounds and roads near lake Mendenhall, Montana creek flooded into lots, streets, and yards, lots of runoff minor river flooding and poor drainage flooding in the city of Juneau, flooding of Jordan Creek into streets, lots, and yards",PAJN,"HYDRO, WFO",Widespread strong AR event with ROS componenet,,
20210813_12Z,PASI,96,4320.16,766.78,1.1,253.8475,,1,1,1,1,1,2,08/13/2021,Flood stage; landslides,Indian river at its 8th highest crest; minor slide in Sitka (4.09''),PASI,"MD, APRFC, WFO, HYDRO, AHPS",Widespread strong event,,
20210813_12Z     ,PAGS,120,5005.43,662.24,,245.591,,,,,,,1,08/13/2021,Flood stage,Salmon river at 5th highest crest,PAGS,AHPS,,NA,
,HOOA2,,,,,,,,,,,,0,08/13/2021,Nothing recorded in Hoonah,Nothing recorded in Hoonah,HOOA2,,widespread ar,,
20210814_00Z,PAGY,132,4720.53,668.63,0.05,237.8018182,,1,1,NA,NA,1,4,08/12/2021,"Flood, rockslide; moderate flood stage","345 K in Skagway damage, moderate flooding of Taiya, flooding of chilkoot trail and campgrounds, second highest crest after 19.89 when dam moraine dam broke, significant damage to national park infrastructure at Sheep Camp from flooding and large rock/landslide; Taiya at its 2nd highest crest",PAGY,"NWS, AHPS, APRFC",Widespread large AR event,13th ahd the 10th highest ivt; ,
20210626_00Z,JNNA2,60,2579.98,616.48,,222.112,,,,,,,3,06/30/2021,"Flooding, moderate flood stage","Taku at highest crest; flooding all around taku, thorugh properties and riverside cabins",JNNA2,"AHPS, NWS",May have been just GDL or coincided with AR,,
